gender,age,attendance_pct,marks,homework_completion,distance_to_school,fee_status,dropout_label
female,18,76.74364465203956,62.0,95.0,14.2,no,0
female,18,78.2376903247305,86.0,82.0,6.8,no,0
female,16,83.17857679419441,96.0,47.0,,no,0
male,16,,30.0,49.0,17.5,yes,1
female,13,75.39655935157064,61.0,66.0,7.7,no,0
female,18,75.67030978464949,72.0,81.0,2.8,yes,0
male,11,67.81074763339606,57.0,89.0,10.8,no,0
male,13,,92.0,74.0,11.1,no,0
male,15,87.52514426246705,78.0,74.0,6.1,no,0
female,15,62.202931547850056,69.0,87.0,4.6,yes,1
female,13,58.36254281216203,87.0,36.0,14.0,yes,1
male,18,65.92417764791017,31.0,33.0,1.2,yes,0
female,11,65.1810135467538,69.0,,9.6,yes,0
female,15,76.02176267790514,65.0,29.0,3.7,no,0
female,11,69.18246069886979,75.0,25.0,8.7,no,1
male,13,81.25156954738506,59.0,22.0,14.5,no,1
female,11,72.4617803803086,66.0,34.0,16.2,no,0
male,11,55.89335855417336,34.0,61.0,,yes,1
male,14,77.15248713884088,45.0,67.0,18.3,no,0
female,14,42.08747187436807,50.0,36.0,2.0,no,1
female,17,71.01970919112,46.0,72.0,3.2,no,1
female,12,46.50346231070031,52.0,100.0,10.3,yes,1
female,13,79.79668326908195,85.0,98.0,16.8,no,0
male,14,90.40013674796576,93.0,53.0,6.1,yes,0
male,18,83.51669128157917,84.0,99.0,12.0,no,0
male,15,60.22368168234543,97.0,21.0,16.3,no,1
female,11,72.77845446455349,40.0,58.0,1.9,no,0
male,17,64.44259552701114,36.0,93.0,17.7,no,0
male,15,82.49248541843055,,79.0,15.9,yes,0
male,11,73.58900865825272,54.0,82.0,12.1,no,0
male,11,60.99723301944781,35.0,48.0,7.2,yes,1
female,14,78.45326646407361,75.0,,9.3,yes,0
male,11,,86.0,24.0,19.1,yes,1
male,13,,60.0,41.0,6.9,no,0
male,15,44.18145475739508,38.0,24.0,3.5,yes,1
male,13,73.5603215055394,67.0,29.0,14.6,no,0
male,15,64.87631871030297,41.0,,0.5,no,0
female,12,75.95546368674403,48.0,83.0,,no,0
female,11,54.11254124412952,48.0,35.0,5.7,yes,1
male,15,86.28200357601868,79.0,86.0,12.3,no,0
male,17,43.19669292871984,92.0,49.0,4.0,yes,1
male,16,67.79635821285417,53.0,,9.7,no,0
male,13,80.94991071283569,80.0,33.0,5.8,no,0
male,17,65.94272196947492,40.0,53.0,,no,0
female,17,63.89017307091281,69.0,59.0,12.7,yes,1
male,17,86.69312894321914,58.0,39.0,15.2,no,0
female,17,70.06456100180924,50.0,62.0,14.9,no,0
male,13,75.1627905253086,48.0,86.0,13.8,no,0
male,16,72.55397604250534,50.0,27.0,18.2,no,0
female,12,80.65156352929803,77.0,31.0,16.3,yes,0
male,17,71.6592077393914,51.0,63.0,14.2,no,0
female,11,68.71491266244608,77.0,41.0,5.4,no,1
male,17,72.2883488345319,78.0,43.0,7.4,yes,1
male,11,72.68092697550784,57.0,65.0,3.7,no,0
male,16,60.55011310317812,74.0,41.0,4.8,yes,1
male,15,83.28929155216427,65.0,67.0,0.6,no,0
female,15,80.22376062302476,74.0,95.0,15.7,yes,0
female,17,73.06297656873758,57.0,38.0,19.6,yes,0
male,17,54.05030384821998,,25.0,,yes,1
male,11,70.4326863261421,82.0,72.0,11.8,no,0
male,16,60.63812962130669,35.0,30.0,19.1,no,1
male,17,80.35481592044184,95.0,90.0,10.3,yes,0
female,12,73.13265499831778,48.0,74.0,2.9,no,0
female,18,38.88007219152606,39.0,47.0,3.9,yes,1
male,15,69.58509344514972,60.0,88.0,12.4,yes,0
male,12,51.361353173202026,55.0,,6.7,yes,1
male,12,92.19416437459029,77.0,64.0,17.0,no,0
female,17,71.9062784008982,53.0,86.0,12.1,no,0
male,14,,91.0,51.0,15.0,yes,0
female,11,77.55904488547375,66.0,46.0,18.3,no,0
male,13,79.10219307532297,36.0,49.0,16.3,no,0
female,18,57.41487093022776,40.0,,16.4,yes,1
male,13,86.17587768000239,88.0,,,no,0
male,18,69.5236272751705,72.0,100.0,3.9,yes,1
female,13,92.71301970983905,94.0,93.0,15.1,yes,1
female,17,67.59556652757146,56.0,44.0,16.4,yes,1
male,13,,,33.0,10.9,no,0
male,17,56.08994591042848,36.0,92.0,1.1,no,1
female,18,,70.0,84.0,19.0,no,0
female,15,71.22835846862952,60.0,41.0,1.3,yes,1
male,16,83.42001014349701,87.0,26.0,11.3,no,0
male,16,75.85887039599113,59.0,79.0,8.2,no,0
female,17,68.18732318879098,72.0,22.0,15.6,no,0
male,16,70.28816766201231,58.0,81.0,9.5,no,0
female,17,76.01414803327897,43.0,91.0,16.3,no,0
male,16,62.87229394779553,92.0,47.0,10.7,no,1
male,16,71.7142510810952,,42.0,18.9,no,0
female,15,48.65266742459285,44.0,38.0,18.1,no,1
male,18,56.75478212748217,85.0,95.0,12.6,no,1
female,14,84.08772506351181,98.0,26.0,10.4,yes,0
male,13,,,27.0,15.7,no,0
female,12,85.5410702999024,91.0,40.0,7.0,yes,0
male,12,96.27345353985903,94.0,86.0,14.3,no,0
female,16,66.48263803767365,56.0,69.0,,no,0
male,18,71.7633089080744,44.0,29.0,0.5,no,0
male,16,68.25580507943342,47.0,49.0,17.1,yes,1
male,13,72.44491433366466,97.0,33.0,12.1,yes,1
female,13,84.9009704547966,66.0,60.0,11.4,yes,0
female,11,79.28650051375504,65.0,,12.4,no,0
female,12,82.78841094716971,59.0,54.0,9.9,no,0
male,12,79.27760711237414,87.0,84.0,5.3,no,0
female,15,72.50926743493224,89.0,,10.9,yes,1
male,12,80.60146196076478,77.0,56.0,19.8,no,0
female,13,82.35649127613617,84.0,28.0,4.5,yes,0
male,17,81.42908597640759,84.0,49.0,11.6,yes,0
male,11,77.56105558507566,45.0,24.0,2.2,yes,1
male,16,88.65150501606689,79.0,53.0,17.4,no,0
male,12,54.9043813749591,33.0,90.0,2.6,yes,1
female,13,81.6842921699399,51.0,100.0,16.6,no,0
male,14,70.08028320078556,42.0,100.0,20.0,no,0
male,13,67.42302238605333,89.0,28.0,3.0,no,1
female,16,87.31357075067119,88.0,33.0,18.3,no,0
male,13,62.8253795958089,,43.0,17.0,yes,1
male,13,85.51337840578067,86.0,80.0,11.7,no,0
male,15,96.54849755014276,90.0,56.0,8.3,no,0
female,11,54.67947564752923,41.0,93.0,17.6,yes,1
female,13,82.27804345922596,64.0,80.0,19.3,yes,0
female,11,87.26761262093075,85.0,39.0,1.3,no,0
female,12,80.9344128476994,72.0,97.0,10.6,yes,0
male,13,87.97481592166591,98.0,77.0,17.4,yes,0
male,14,79.14808802246418,61.0,,12.9,yes,0
female,13,74.50868004279636,41.0,91.0,12.1,no,0
male,14,,71.0,22.0,0.6,no,0
male,13,72.75800820130766,46.0,63.0,18.3,no,0
male,11,,72.0,96.0,19.6,no,0
female,11,81.03338088499423,87.0,64.0,13.5,yes,0
male,16,62.06133736131024,42.0,62.0,5.6,yes,1
male,15,,44.0,25.0,9.5,no,0
female,16,55.10424743454218,55.0,44.0,11.5,no,1
female,15,76.81301221993088,48.0,66.0,1.9,no,0
male,13,68.8515187037105,68.0,82.0,14.1,no,0
male,11,71.65395860886105,88.0,,11.0,yes,0
female,16,46.317095851291725,53.0,24.0,9.9,yes,1
male,18,,46.0,23.0,9.8,no,1
female,18,76.87813365242329,55.0,68.0,4.5,yes,0
female,16,67.81270627888837,44.0,37.0,15.6,no,0
female,11,73.57824137086317,83.0,65.0,18.9,no,0
male,15,76.0295405542087,87.0,89.0,,yes,0
male,18,59.7268137877702,42.0,31.0,15.8,yes,1
female,13,67.20888284820266,90.0,49.0,11.2,yes,1
female,18,77.33443331438761,60.0,83.0,9.2,no,0
male,18,48.25556190441066,67.0,41.0,13.6,yes,1
female,16,36.24235922311904,62.0,22.0,11.2,yes,1
female,15,78.47743320782651,67.0,68.0,5.2,no,0
female,11,74.53683719287451,49.0,,10.6,yes,0
male,14,66.19727796846647,43.0,42.0,16.6,no,1
female,17,64.83342627809076,32.0,77.0,19.6,yes,0
female,17,78.65900637979313,67.0,,8.5,no,0
female,12,75.0868512090471,54.0,87.0,2.6,no,0
female,11,60.60121713302742,79.0,77.0,13.0,no,1
female,15,84.87311219891478,78.0,54.0,4.0,no,0
male,15,85.34463583618759,90.0,,,no,0
female,15,67.24104163899611,37.0,,10.2,no,1
female,16,60.99288534868224,,36.0,7.9,no,0
female,18,45.52822646673245,30.0,28.0,14.7,no,1
male,14,73.92336442363683,78.0,,7.2,no,0
male,16,78.59098867014112,55.0,,7.2,no,0
male,15,57.84776578496847,31.0,85.0,,no,0
male,17,,82.0,79.0,2.4,no,0
male,15,62.19483153547981,76.0,49.0,11.7,no,1
male,15,69.02557693578947,39.0,96.0,,no,1
male,17,48.87567831892338,40.0,100.0,9.6,yes,1
male,13,72.11233240610315,,94.0,10.8,no,0
male,15,62.39666880045591,55.0,33.0,8.8,yes,1
female,16,82.9490485130083,70.0,88.0,12.9,no,0
male,15,80.74687094582384,60.0,69.0,16.4,no,0
male,18,49.8896006411577,34.0,70.0,18.8,yes,1
male,12,53.02610804391343,51.0,93.0,15.5,yes,1
female,18,62.31708794523831,30.0,95.0,20.0,no,0
female,16,49.104918777296575,82.0,22.0,7.1,no,1
female,16,69.67424053784715,52.0,87.0,12.5,no,0
female,15,67.5823980877325,66.0,36.0,4.7,yes,1
male,16,87.87937273409227,89.0,,3.6,yes,0
male,13,78.36259724674059,45.0,98.0,,no,0
male,17,82.4090396019016,75.0,43.0,,no,0
female,17,97.50418995102817,96.0,63.0,9.2,no,0
male,17,69.75525189619368,56.0,76.0,1.5,no,0
male,18,61.12075977298166,51.0,88.0,18.1,yes,0
male,14,73.90215570441418,40.0,66.0,12.6,no,0
female,13,,93.0,85.0,,no,0
female,15,76.67573887681522,70.0,94.0,4.9,no,0
female,12,55.25028198623692,30.0,62.0,6.2,no,0
female,18,,85.0,93.0,8.8,yes,0
male,11,72.5359672755508,82.0,62.0,1.6,no,0
female,13,67.47537565751377,96.0,34.0,18.6,yes,1
male,12,60.83581337094229,,42.0,2.0,no,1
male,13,77.46675059275373,65.0,24.0,7.2,no,0
female,14,79.0102546754376,46.0,51.0,6.8,no,0
female,14,77.86450946885626,54.0,80.0,5.2,no,0
male,17,67.88033129187397,69.0,40.0,,no,0
male,11,88.23049724436099,90.0,90.0,7.9,yes,0
female,16,58.207631219761,89.0,28.0,8.4,no,1
male,11,78.38369347817257,72.0,99.0,13.8,no,0
male,13,85.15699296139547,93.0,93.0,3.1,no,0
male,15,70.6886802969434,40.0,71.0,6.3,yes,0
male,14,80.34111321661453,91.0,97.0,6.2,no,0
male,15,62.27499383592129,91.0,65.0,7.4,yes,1
male,15,83.75881648051856,63.0,51.0,1.7,no,0
female,15,76.66539355811913,79.0,36.0,18.6,no,0
female,12,75.2117057500969,,28.0,11.9,no,0
female,13,74.11124370839474,57.0,84.0,13.4,yes,0
female,11,70.85468125260984,62.0,76.0,5.3,no,1
male,11,62.14646633483767,52.0,56.0,3.6,yes,0
male,12,64.52985678442865,31.0,50.0,6.3,no,0
female,14,90.52631787275271,80.0,82.0,9.4,no,0
male,11,77.25679419597557,67.0,62.0,6.2,no,0
female,12,80.72503569502373,74.0,40.0,,yes,0
female,16,34.25746631269166,44.0,,14.0,yes,1
male,12,89.26019060237796,97.0,50.0,14.5,yes,0
female,14,81.08820492625168,77.0,56.0,13.1,no,0
female,11,,61.0,53.0,15.9,no,0
female,17,70.83431796983496,41.0,45.0,,yes,0
male,12,81.30478736192212,96.0,24.0,18.8,yes,1
male,12,75.92228969942053,44.0,70.0,0.6,no,1
female,17,85.59067847871343,87.0,65.0,,no,0
male,15,78.74195316192106,46.0,37.0,16.6,no,0
female,18,80.73157982409984,70.0,78.0,8.5,no,1
male,14,78.33415652464622,88.0,74.0,18.8,no,0
male,11,79.3812455602491,77.0,94.0,16.7,yes,0
female,15,81.9840631289059,64.0,40.0,19.1,no,0
female,13,61.97419131242718,41.0,25.0,0.9,no,0
male,15,75.44491703034033,48.0,56.0,9.6,no,0
female,17,51.84087819263709,71.0,99.0,5.8,yes,1
male,14,72.42499741269233,45.0,,6.0,no,0
female,14,72.44471296721294,62.0,92.0,9.6,no,0
female,16,,87.0,51.0,8.5,yes,0
female,14,78.39549797228081,38.0,83.0,5.1,no,0
male,13,51.23618816669877,33.0,33.0,5.8,no,1
female,17,75.45780691853692,50.0,23.0,14.9,no,0
female,11,45.69800288336392,51.0,48.0,17.4,yes,1
male,18,79.41878813677877,59.0,92.0,13.6,no,0
male,12,66.90310251912734,59.0,45.0,18.9,no,1
female,18,,65.0,66.0,12.7,no,0
male,14,79.06476012712767,88.0,95.0,2.2,no,0
male,17,,49.0,31.0,16.8,yes,1
female,14,,58.0,62.0,16.6,yes,0
female,14,,47.0,,1.8,no,1
male,17,66.30162801178412,48.0,53.0,,no,0
female,13,74.18766033202587,73.0,60.0,18.9,no,0
male,11,76.06129510887617,66.0,,5.6,no,0
female,14,59.81036547228605,93.0,,4.9,yes,1
female,11,67.12092148657227,52.0,55.0,,yes,0
male,15,64.04072405736855,75.0,27.0,4.8,yes,1
female,16,70.06121614059377,66.0,39.0,17.2,no,0
male,12,71.60393079882606,34.0,81.0,2.4,no,0
female,18,32.05496314867794,36.0,44.0,19.8,no,1
female,12,77.85377274652926,87.0,52.0,5.4,no,0
male,15,37.8761627995856,35.0,98.0,8.3,no,1
male,18,62.91348510396648,35.0,55.0,8.1,no,0
male,16,57.27658703449096,61.0,27.0,14.4,yes,1
male,16,39.21675838722515,37.0,86.0,8.6,no,1
female,13,77.97044575586108,57.0,25.0,14.2,no,0
male,16,76.61417235482361,66.0,28.0,15.5,no,0
female,12,74.5106544288259,71.0,80.0,6.8,no,0
male,16,78.48629548099278,80.0,85.0,11.2,no,1
female,16,88.12224530783912,87.0,86.0,10.0,no,0
female,18,,43.0,39.0,6.7,no,1
female,14,75.16356372084792,69.0,53.0,,no,0
male,15,65.15105710545828,97.0,72.0,,yes,1
male,12,70.43297371497603,43.0,72.0,8.2,no,0
male,16,75.18099263298934,,64.0,14.4,no,0
female,11,77.56604111280797,61.0,63.0,14.1,yes,0
male,17,54.18304793394943,44.0,48.0,,no,1
male,11,,59.0,62.0,15.3,yes,0
female,18,85.28311946811516,96.0,67.0,,no,0
male,18,,54.0,,14.5,no,0
male,16,61.3592794177508,79.0,48.0,19.3,no,1
male,14,89.57037079230003,,72.0,19.0,yes,0
female,11,55.946996301921466,82.0,91.0,2.9,yes,1
female,11,73.41436751762126,37.0,42.0,,no,0
male,12,79.47153041988675,67.0,22.0,19.0,yes,0
male,13,52.74687449184421,44.0,,1.5,yes,1
female,15,79.98870850181385,,54.0,5.8,yes,0
female,13,85.16807772870573,,37.0,4.4,no,0
male,18,,57.0,71.0,9.6,yes,1
male,13,70.15301349666291,,64.0,18.4,no,0
male,15,83.06216918484509,87.0,82.0,17.9,no,0
male,14,99.63998360172282,96.0,51.0,10.8,yes,0
male,12,68.76275807055116,52.0,75.0,13.4,no,0
female,17,86.02022619738861,,25.0,,no,0
male,12,55.0990889998166,75.0,25.0,14.8,yes,1
female,13,,91.0,78.0,13.3,no,0
male,17,84.81514011624472,88.0,84.0,0.5,no,0
male,13,65.67864162880178,37.0,65.0,4.5,yes,0
male,15,65.34582982226597,34.0,91.0,,no,0
female,17,72.43398701252926,85.0,75.0,10.8,no,0
female,15,74.64605172034217,58.0,58.0,17.4,yes,0
female,15,57.50730626376507,37.0,33.0,3.1,no,1
male,14,,43.0,74.0,18.8,no,0
female,18,62.8910177375258,39.0,87.0,8.8,yes,1
male,15,76.3560629094536,51.0,21.0,7.7,no,0
female,15,,36.0,90.0,14.0,no,0
female,13,63.15394860479334,,72.0,2.8,no,1
male,16,85.07785475373805,95.0,65.0,18.6,no,1
female,14,67.63578401419613,65.0,77.0,12.8,yes,0
male,14,77.61740299238053,,,17.3,yes,0
male,11,,80.0,88.0,7.4,no,0
female,14,83.50715291613515,51.0,58.0,5.7,yes,0
male,11,77.22841803665692,55.0,78.0,13.0,no,0
female,18,53.67014910138822,36.0,46.0,12.2,no,1
male,16,70.23197986423152,,59.0,1.4,no,0
female,14,68.09872185061118,40.0,,19.1,no,0
female,13,72.71411601501481,34.0,69.0,12.0,no,0
male,12,68.91011707882535,43.0,43.0,12.6,no,0
female,16,88.11450030253525,91.0,27.0,6.7,no,0
female,11,74.85890966971121,62.0,50.0,4.3,no,0
male,14,,96.0,35.0,8.3,no,0
female,15,76.43727445695433,97.0,76.0,18.7,no,0
female,16,93.00634735692044,85.0,69.0,12.8,yes,0
female,18,56.65513295057546,61.0,72.0,15.1,no,1
female,13,30.694973736791106,30.0,20.0,15.8,no,1
female,18,86.5770132969367,87.0,,15.5,yes,1
male,14,81.57028422768852,83.0,28.0,16.0,no,0
female,17,82.88105799238807,90.0,48.0,,no,0
female,12,49.60011377113828,43.0,38.0,13.1,yes,1
female,16,72.28240462266965,40.0,55.0,12.6,no,0
male,16,90.16767752448531,,44.0,17.0,yes,0
female,14,62.556692457417874,33.0,39.0,1.9,no,1
male,18,81.09047574469322,72.0,29.0,14.3,no,0
female,12,83.1961477067603,50.0,,19.2,no,0
female,17,81.9857270197816,80.0,90.0,12.9,no,0
male,11,84.28787428219341,67.0,61.0,15.4,no,0
female,13,82.00093393930872,73.0,27.0,11.4,no,0
female,16,70.1400108220202,54.0,,13.7,no,0
male,13,70.541775172593,40.0,,19.4,no,0
male,18,87.26998282830749,,82.0,12.6,yes,0
female,16,67.39715177216357,34.0,24.0,15.9,yes,0
female,17,76.8009960633846,56.0,83.0,0.7,yes,0
male,15,72.75178664375944,33.0,73.0,2.8,yes,0
male,17,75.55274920542587,61.0,64.0,15.0,yes,0
male,13,58.05350768730037,64.0,68.0,4.9,no,0
female,11,59.02163966907732,63.0,81.0,0.8,yes,1
female,16,76.82517398961193,71.0,94.0,5.3,yes,0
male,14,,31.0,61.0,1.6,yes,1
female,15,77.11671683714623,51.0,24.0,6.0,no,1
female,13,40.98275113852296,62.0,97.0,3.8,yes,1
male,11,76.35468866270301,75.0,59.0,13.2,no,0
male,11,34.369340509950966,,37.0,2.9,yes,1
female,14,75.30260449997918,74.0,46.0,14.3,no,0
female,13,85.33737979157688,82.0,68.0,16.0,no,0
female,11,93.89128967831954,79.0,79.0,,yes,0
female,13,68.38489469955451,,40.0,9.9,no,1
female,13,86.07236856395379,72.0,93.0,4.2,no,0
female,16,80.22231680188554,84.0,57.0,6.5,no,0
male,14,61.41546495312964,40.0,43.0,,yes,1
male,17,66.76756486888381,37.0,35.0,1.9,no,1
female,14,79.64478527005055,88.0,88.0,1.3,no,0
female,12,70.31790055554056,52.0,63.0,,no,0
female,15,65.08361045505971,,64.0,9.8,yes,1
female,13,73.44564451940586,63.0,30.0,11.1,yes,1
female,14,77.02468469794611,64.0,87.0,4.3,yes,0
male,18,75.67050976109402,86.0,90.0,6.3,no,0
male,15,40.31385517658709,32.0,37.0,12.3,no,1
male,18,54.71412095875667,,61.0,12.7,no,1
female,17,83.67377518195877,86.0,59.0,10.3,yes,0
male,18,86.90903960100994,93.0,47.0,,yes,0
male,11,65.59452434746201,33.0,57.0,13.2,no,0
male,18,82.32278070101418,78.0,23.0,15.9,no,0
male,14,73.11932974090831,86.0,59.0,11.0,no,1
female,14,73.77083735513843,59.0,,18.6,no,1
male,17,63.33035915852935,,31.0,14.3,no,0
male,11,72.60443474927003,56.0,22.0,14.8,no,0
male,14,54.20334959585024,32.0,98.0,13.5,yes,1
male,18,,61.0,,19.2,no,0
male,13,79.6868677734962,80.0,89.0,4.0,no,0
female,13,74.97029326282309,,42.0,3.4,no,0
male,13,87.53235704512008,82.0,64.0,15.2,no,0
female,16,71.76124550025287,52.0,90.0,17.8,no,0
female,17,62.46398744781557,39.0,22.0,11.5,yes,1
female,11,81.47369513801465,55.0,33.0,,no,0
female,17,76.5964238245855,35.0,40.0,0.6,no,0
male,11,86.68812266460884,88.0,,13.0,no,0
male,15,60.34067991530534,31.0,94.0,9.5,no,1
male,16,62.823716389584646,31.0,66.0,19.8,no,0
male,12,89.3816887929273,62.0,63.0,7.2,no,0
male,17,81.74028677854812,65.0,27.0,1.9,no,0
female,18,80.24444019806833,48.0,82.0,7.4,no,0
female,11,41.150742788858906,31.0,,6.9,yes,1
female,18,75.56591961240076,41.0,96.0,18.2,no,1
male,16,,43.0,42.0,5.7,no,0
female,15,70.6496405445396,67.0,,,yes,0
female,12,73.77104442456286,58.0,63.0,16.6,no,0
male,13,57.71010806414351,46.0,98.0,15.4,yes,0
male,14,83.8765022458503,92.0,94.0,13.8,no,0
male,13,72.35914838120145,67.0,68.0,,yes,0
male,18,83.92806356580957,93.0,25.0,1.2,yes,0
female,11,92.01895315290936,,28.0,8.3,no,0
female,16,,63.0,58.0,5.2,yes,1
male,14,77.31882835170548,73.0,26.0,17.7,yes,1
female,14,80.70115130007625,,76.0,15.0,yes,0
female,12,64.64942020321556,73.0,32.0,20.0,no,1
female,11,82.57124835376108,91.0,56.0,6.8,yes,0
male,14,72.32333789989886,46.0,89.0,,no,0
female,18,87.93868790671448,96.0,83.0,18.5,yes,0
female,13,49.63676658581987,,67.0,14.7,yes,1
male,17,76.70262506925727,86.0,81.0,,no,0
male,16,72.58546932617823,47.0,,11.6,yes,0
male,18,32.385636701164486,31.0,31.0,6.5,no,1
female,15,64.03605489287119,37.0,94.0,6.6,no,0
male,17,72.19543031892077,66.0,56.0,15.0,no,0
female,17,49.08162686433703,42.0,22.0,5.5,yes,1
female,17,,,49.0,5.0,no,0
female,17,68.61813964303472,39.0,,14.1,no,0
female,17,89.82320423300459,74.0,50.0,2.0,yes,0
female,13,,,45.0,1.8,no,0
male,14,85.91659174916539,91.0,65.0,20.0,no,0
male,11,83.96793879664476,96.0,43.0,6.6,no,0
female,17,70.40415396240259,31.0,21.0,11.5,no,0
female,13,70.77599634198127,61.0,,16.8,no,0
female,16,82.84225429492692,87.0,38.0,7.4,no,1
male,18,56.920331599821125,47.0,78.0,3.6,yes,1
male,17,51.90374034537844,57.0,27.0,7.1,no,1
female,13,70.26692735538565,41.0,91.0,20.0,no,0
male,13,74.98027486500554,47.0,81.0,16.3,no,0
female,11,79.69512960606966,79.0,,6.0,yes,1
female,12,61.42367161766231,98.0,22.0,5.8,no,1
male,13,69.60083060690371,56.0,46.0,8.7,yes,0
female,11,64.34664669050952,76.0,50.0,4.6,no,1
male,16,96.76508602759807,92.0,73.0,14.5,no,0
female,16,67.11006221338681,51.0,51.0,9.3,yes,0
male,13,87.24609962052206,55.0,35.0,16.1,yes,0
male,17,64.87219952883572,41.0,93.0,14.4,yes,1
female,15,72.97066503690237,61.0,71.0,1.4,no,0
female,17,56.04330131723041,63.0,38.0,9.3,no,1
female,13,77.29329143122787,71.0,80.0,10.1,yes,0
male,17,61.67506917158418,47.0,79.0,6.4,yes,1
female,11,73.38395984492963,62.0,72.0,6.6,no,0
male,14,74.94355836370964,64.0,84.0,3.0,no,0
female,11,65.93119401059175,51.0,50.0,12.5,yes,0
female,16,82.51142472789746,68.0,25.0,3.1,yes,0
male,13,77.02177238692687,70.0,77.0,4.6,yes,0
male,11,79.79449436892911,88.0,78.0,13.3,yes,0
female,11,73.35039620906818,60.0,57.0,3.2,yes,0
male,17,79.13717708188983,65.0,59.0,6.4,yes,0
male,13,82.76129362594205,83.0,38.0,,no,0
female,12,58.65765461188068,50.0,49.0,8.7,yes,1
female,15,80.99161688645479,76.0,68.0,15.2,yes,0
male,12,75.98074146733256,63.0,75.0,7.6,yes,0
male,18,62.82137539416248,42.0,,3.7,no,0
male,15,75.68242043090426,67.0,86.0,8.4,no,0
male,15,56.51850439337272,82.0,22.0,14.4,no,1
female,12,80.804471037348,66.0,,13.8,no,0
female,13,67.95122470585862,40.0,80.0,9.2,no,0
male,16,73.96366860715165,41.0,80.0,2.6,no,0
female,13,54.3193698245497,79.0,53.0,13.0,yes,1
female,13,61.32137661938204,33.0,98.0,9.9,no,0
male,11,57.6230609288436,41.0,,17.0,yes,1
female,18,42.01275669412025,40.0,69.0,10.3,no,1
male,15,80.02848524719069,72.0,90.0,12.1,yes,0
male,11,64.66519539910564,,30.0,9.6,no,0
female,13,95.92806940760188,96.0,21.0,10.0,yes,0
female,17,,84.0,28.0,15.1,no,0
female,16,63.14736366898048,71.0,27.0,,yes,1
male,12,48.4047361133215,40.0,28.0,15.3,yes,1
female,18,56.050546824216894,61.0,30.0,8.9,yes,1
male,15,68.65191955843318,41.0,72.0,12.1,no,0
male,12,59.51469364446071,86.0,31.0,15.1,no,1
female,14,72.41136414899951,67.0,87.0,14.7,yes,0
female,12,70.67777031041865,50.0,23.0,15.5,no,1
male,16,86.10734737717307,89.0,57.0,17.6,no,0
female,14,75.02477231413097,49.0,34.0,11.4,no,0
female,15,71.5901606170374,57.0,88.0,13.2,no,0
male,11,73.5376171229043,97.0,48.0,9.3,yes,1
female,11,,95.0,90.0,17.9,no,0
female,14,60.04092520169004,47.0,30.0,3.9,yes,1
male,11,61.29995382142068,37.0,52.0,10.5,no,0
female,11,78.94195641467239,,,13.7,no,0
male,12,77.61159802549616,39.0,36.0,7.5,no,0
male,16,48.17324021501992,33.0,,1.2,no,1
male,12,87.32175481082744,91.0,66.0,10.0,no,0
female,14,86.37469068014497,96.0,60.0,8.4,yes,0
female,13,,48.0,89.0,19.4,yes,0
male,12,53.18227469774272,37.0,32.0,19.5,no,1
female,18,76.13656818345349,,48.0,13.1,yes,0
male,17,78.34693674262164,74.0,43.0,1.3,no,0
female,15,91.12677042169229,93.0,49.0,13.8,no,0
male,12,80.43852273156801,94.0,,5.4,no,0
male,13,80.35367634013588,76.0,69.0,,no,0
female,12,73.85420772125008,57.0,49.0,15.3,yes,0
female,13,65.4846565306814,48.0,77.0,16.4,no,0
female,16,70.03339801843413,,55.0,10.5,no,0
female,14,76.29093200780892,70.0,29.0,5.6,no,1
female,16,66.82065745546282,54.0,86.0,1.1,yes,1
male,11,70.3314529868817,59.0,70.0,8.1,no,0
male,15,84.42053655292474,97.0,72.0,1.4,no,0
male,18,57.32891265834069,42.0,38.0,19.0,no,1
female,17,70.6649055009525,52.0,71.0,15.5,yes,0
female,17,82.74859587373753,63.0,75.0,5.9,no,0
male,18,88.2426360536115,,87.0,13.0,yes,0
male,11,78.15239179672899,71.0,66.0,6.5,no,0
female,18,,53.0,45.0,19.8,yes,0
female,14,65.6819595077568,45.0,51.0,9.2,yes,0
female,12,81.13396370473582,45.0,51.0,17.5,no,0
female,14,90.2269037910376,66.0,76.0,4.3,no,0
male,15,30.354057113942936,66.0,41.0,14.3,no,1
female,13,98.6213207671874,83.0,43.0,10.6,no,0
female,15,62.80978302268202,78.0,,,yes,1
male,12,70.81820078756559,71.0,,13.3,yes,0
male,13,65.52937034920706,42.0,98.0,4.0,yes,0
female,13,79.71721133002755,79.0,21.0,0.6,no,0
female,17,92.06601927257866,67.0,25.0,3.3,no,0
male,17,66.12869749734244,35.0,82.0,18.3,no,0
male,14,72.38416837933465,,40.0,13.6,no,0
female,12,51.40680607160064,32.0,,20.0,yes,1
female,16,78.08213930587266,45.0,92.0,7.9,no,0
male,12,80.9133749716448,,46.0,1.8,yes,1
female,12,76.24148742597225,73.0,51.0,14.6,yes,0
male,16,72.58256006871392,90.0,44.0,15.8,no,0
female,11,65.2898606683315,50.0,93.0,5.5,no,0
male,11,79.94383617624712,39.0,97.0,5.3,no,0
female,13,56.58629014819056,47.0,20.0,7.4,yes,1
female,15,76.71240666601732,63.0,46.0,13.4,no,0
male,11,78.77364899085165,32.0,97.0,16.6,no,0
female,14,83.83745551871253,47.0,27.0,7.3,no,0
female,16,78.17358050764382,70.0,66.0,4.3,no,0
